date,temperature_c,humidity_pct,wind_speed_kmh,solar_radiation_w_m2,pressure_hpa,rainfall_mm,heat_index_c,wbgt_c,apparent_temperature_c,thermal_stress_score,thermal_stress_level,heatwave
2020-01-10 06:00:00,20.3,88.4,5.2,584.0,997.5,0.1,24.1,21.9,22.2,34.61,Moderate,0
2020-01-10 12:00:00,24.7,35.7,10.7,585.0,1004.6,0.1,25.2,24.1,22.3,22.32,Low,0
2020-01-10 18:00:00,35.4,23.0,25.2,392.0,998.2,1.6,33.5,33.1,30.8,20.14,Low,0
2020-01-11 00:00:00,39.2,75.6,9.7,396.0,987.3,1.3,41.8,38.3,50.9,38.02,High,0
2020-01-11 06:00:00,35.2,82.1,14.9,762.0,994.4,1.6,37.5,35.3,43.6,39.66,High,0
2020-01-11 12:00:00,33.2,92.6,11.5,796.0,1021.4,1.1,36.4,33.9,42.5,42.14,High,0
2020-01-11 18:00:00,31.9,86.7,5.4,746.0,1007.5,2.6,35.6,32.5,40.3,41.46,High,0
2020-01-12 00:00:00,23.7,65.0,13.1,748.0,1007.1,1.2,25.4,24.4,23.4,30.32,Moderate,0
2020-01-12 06:00:00,29.0,59.8,3.4,692.0,1002.2,3.8,31.6,28.9,32.2,33.84,Moderate,0
2020-01-12 12:00:00,30.8,22.1,9.6,583.0,1004.5,1.0,30.8,29.1,28.2,22.19,Low,0
2020-01-12 18:00:00,41.4,38.5,21.9,506.0,1000.7,2.3,40.7,39.1,43.2,28.48,Moderate,0
2020-01-13 00:00:00,36.4,54.5,10.9,853.0,1010.3,0.8,37.8,35.5,41.2,34.5,Moderate,0
2020-01-13 06:00:00,21.7,67.1,11.5,457.0,1006.0,0.9,23.7,22.3,21.2,27.98,Low,0
2020-01-13 12:00:00,36.3,61.8,7.4,642.0,993.3,2.8,38.5,35.5,43.1,36.1,Moderate,0
2020-01-13 18:00:00,31.3,75.7,2.4,349.0,1007.5,0.2,34.8,31.2,38.2,35.22,Moderate,0
2020-01-14 00:00:00,29.3,41.0,8.1,385.0,980.4,1.2,30.4,28.2,29.2,25.12,Low,0
2020-01-14 06:00:00,38.3,62.4,16.9,491.0,1009.1,1.9,39.4,37.1,44.8,33.8,Moderate,0
2020-01-14 12:00:00,41.2,26.6,12.5,349.0,990.9,2.1,41.0,38.4,41.6,26.04,Low,0
2020-01-14 18:00:00,40.5,51.0,3.6,749.0,1004.0,1.3,42.6,39.0,48.5,36.33,Moderate,1
2020-01-15 00:00:00,28.1,76.3,1.8,213.0,993.1,0.9,31.7,28.2,33.3,33.27,Moderate,0
2020-01-15 06:00:00,31.8,72.0,5.4,575.0,1005.0,0.5,34.8,31.7,37.9,35.72,Moderate,0
2020-01-15 12:00:00,36.3,94.3,8.1,583.0,1010.8,3.6,40.0,36.6,49.4,43.92,High,0
2020-01-15 18:00:00,40.8,40.8,8.6,97.0,1020.0,0.7,41.8,38.2,45.4,27.81,Low,0
2020-01-16 00:00:00,30.6,57.4,8.7,440.0,989.6,2.4,32.4,30.0,33.2,30.52,Moderate,0
2020-01-16 06:00:00,32.7,44.7,9.6,614.0,1014.8,0.0,33.8,31.6,34.1,28.58,Moderate,0
2020-01-16 12:00:00,26.3,53.0,12.8,657.0,1006.3,0.4,27.4,26.2,25.8,27.59,Low,0
2020-01-16 18:00:00,25.6,84.3,7.0,499.0,1000.5,0.6,29.0,26.5,29.3,35.15,Moderate,0
2020-01-17 00:00:00,39.7,71.3,4.5,719.0,1012.6,1.7,42.7,38.9,51.8,40.78,High,0
2020-01-17 06:00:00,43.5,86.2,13.8,523.0,1002.6,0.6,46.2,42.7,61.9,42.5,High,1
2020-01-17 12:00:00,33.5,35.3,17.2,553.0,1012.2,0.1,33.2,31.9,32.2,24.64,Low,0
2020-01-17 18:00:00,41.0,85.5,6.2,613.0,995.1,0.3,44.5,40.5,57.6,43.29,High,1
2020-01-18 00:00:00,36.5,24.5,31.6,782.0,998.7,0.4,33.9,34.5,31.3,22.24,Low,0
2020-01-18 06:00:00,29.5,86.6,24.3,381.0,1014.4,0.3,30.9,30.0,32.5,33.03,Moderate,0
2020-01-18 12:00:00,36.5,44.7,3.8,428.0,1019.9,0.3,38.3,34.8,40.7,30.16,Moderate,0
2020-01-18 18:00:00,44.8,43.6,1.9,383.0,1004.6,2.2,46.8,42.2,54.0,34.32,Moderate,1
2020-01-19 00:00:00,33.7,58.4,8.4,467.0,977.1,0.8,35.6,32.8,38.1,31.87,Moderate,0
2020-01-19 06:00:00,45.0,90.6,11.6,907.0,1003.0,0.8,48.1,44.6,67.3,47.66,High,1
2020-01-19 12:00:00,18.0,23.6,31.3,693.0,1005.3,5.1,15.4,17.7,9.5,14.72,Low,0
2020-01-19 18:00:00,39.8,46.4,30.6,267.0,1002.7,0.9,38.4,37.7,41.0,25.71,Low,0
2020-01-20 00:00:00,34.6,84.2,15.0,400.0,1008.4,3.9,37.0,34.5,42.9,37.99,Moderate,0
2020-01-20 06:00:00,31.9,49.7,7.2,643.0,1000.2,0.5,33.5,31.1,34.2,30.34,Moderate,0
2020-01-20 12:00:00,34.6,34.9,20.4,323.0,1013.4,0.8,33.9,32.7,32.9,22.92,Low,0
2020-01-20 18:00:00,20.1,51.9,10.4,369.0,993.3,0.8,21.4,20.3,18.1,22.99,Low,0
2020-01-21 00:00:00,32.5,48.9,3.1,886.0,1017.4,1.2,34.6,31.8,35.8,33.3,Moderate,0
2020-01-21 06:00:00,36.5,88.7,3.2,397.0,1020.5,1.3,40.6,36.4,49.7,41.39,High,0
2020-01-21 12:00:00,44.3,77.1,7.2,789.0,995.9,0.4,47.3,43.4,62.3,43.83,High,1
2020-01-21 18:00:00,30.4,57.9,18.2,864.0,995.9,2.4,31.1,30.3,31.1,31.83,Moderate,0
2020-01-22 00:00:00,28.3,94.1,4.1,367.0,1009.1,1.0,32.5,29.1,35.4,38.54,High,0
2020-01-22 06:00:00,30.5,54.9,7.2,328.0,993.1,0.0,32.4,29.7,33.0,28.47,Moderate,0
2020-01-22 12:00:00,40.4,24.4,24.2,481.0,1000.1,1.3,38.7,37.7,37.7,23.5,Low,0
2020-01-22 18:00:00,36.3,39.7,12.5,278.0,1016.0,2.4,36.8,34.3,37.8,26.68,Low,0
2020-01-23 00:00:00,30.3,52.7,13.5,580.0,1012.4,0.4,31.3,29.7,31.2,28.6,Moderate,0
2020-01-23 06:00:00,37.6,31.8,18.6,499.0,1024.8,0.1,37.0,35.5,36.8,24.93,Low,0
2020-01-23 12:00:00,34.7,91.1,7.3,640.0,1006.7,2.5,38.4,35.1,45.8,42.6,High,0
2020-01-23 18:00:00,40.8,77.5,25.3,899.0,998.9,5.6,41.6,40.3,51.5,41.38,High,0
2020-01-24 00:00:00,29.1,40.1,15.3,754.0,1005.5,0.1,29.3,28.3,27.4,25.75,Low,0
2020-01-24 06:00:00,31.7,64.3,8.8,672.0,1003.5,4.2,33.9,31.5,35.9,35.09,Moderate,0
2020-01-24 12:00:00,31.3,74.1,22.3,58.0,1003.6,0.7,32.3,30.8,34.1,28.83,Moderate,0
2020-01-24 18:00:00,23.8,90.6,14.8,661.0,1004.8,4.3,26.6,25.3,25.7,36.86,Moderate,0
2020-01-25 00:00:00,36.1,86.1,9.4,981.0,995.7,1.6,39.3,36.5,47.2,43.81,High,0
2020-01-25 06:00:00,35.8,58.6,13.8,50.0,1007.8,3.3,37.1,34.3,40.4,29.53,Moderate,0
2020-01-25 12:00:00,34.0,78.1,4.8,722.0,990.9,2.3,37.3,34.1,42.7,40.08,High,0
2020-01-25 18:00:00,32.4,62.2,20.4,510.0,997.8,0.0,33.1,31.8,34.4,29.88,Moderate,0
2020-01-26 00:00:00,24.1,61.5,31.0,338.0,1003.8,0.1,23.5,24.2,20.1,22.59,Low,0
2020-01-26 06:00:00,31.1,28.6,2.3,750.0,982.4,1.1,32.3,29.7,30.9,26.7,Low,0
2020-01-26 12:00:00,31.6,29.5,6.2,977.0,1012.7,0.2,32.3,30.4,30.9,27.75,Low,0
2020-01-26 18:00:00,28.4,59.7,5.8,744.0,984.5,0.9,30.7,28.4,30.9,32.44,Moderate,0
2020-01-27 00:00:00,32.9,40.2,15.9,457.0,1011.7,4.6,33.0,31.5,32.4,26.71,Low,0
2020-01-27 06:00:00,36.8,21.6,11.1,314.0,992.1,0.5,36.5,34.2,35.0,22.27,Low,0
2020-01-27 12:00:00,47.2,74.2,6.9,586.0,1001.0,1.0,50.1,45.7,68.0,43.16,High,1
2020-01-27 18:00:00,35.2,22.4,7.7,768.0,1010.2,0.7,35.4,33.2,33.9,25.91,Low,0
2020-01-28 00:00:00,35.8,64.6,6.4,453.0,1027.0,1.5,38.3,34.9,43.0,34.9,Moderate,0
2020-01-28 06:00:00,33.5,60.4,14.6,477.0,1006.2,0.3,34.8,32.7,36.9,30.94,Moderate,0
2020-01-28 12:00:00,20.6,92.7,11.0,1100.0,985.2,0.5,23.9,22.9,21.9,38.67,High,0
2020-01-28 18:00:00,33.8,56.3,7.5,820.0,1014.5,2.9,35.7,33.2,38.1,34.95,Moderate,0
2020-01-29 00:00:00,34.4,24.8,6.5,838.0,1002.7,2.5,34.9,32.7,33.6,27.54,Low,0
2020-01-29 06:00:00,50.0,61.4,22.5,185.0,1005.7,2.3,50.4,47.3,66.5,35.54,Moderate,1
2020-01-29 12:00:00,32.7,83.1,20.1,373.0,1010.6,2.2,34.4,32.7,38.3,35.04,Moderate,0
2020-01-29 18:00:00,36.1,94.8,14.7,569.0,982.7,0.9,39.1,36.4,47.9,41.59,High,0
2020-01-30 00:00:00,33.8,52.3,18.7,300.0,1005.1,2.0,34.2,32.6,35.2,27.49,Low,0
2020-01-30 06:00:00,25.8,44.0,3.1,950.0,1000.9,0.7,27.6,25.7,26.0,29.36,Moderate,0
2020-01-30 12:00:00,42.0,88.0,4.0,903.0,1017.2,0.2,45.9,41.8,60.9,46.94,High,1
2020-01-30 18:00:00,39.3,34.3,3.7,417.0,1012.3,0.7,40.6,37.0,42.6,28.89,Moderate,0
2020-01-31 00:00:00,39.5,66.2,9.6,996.0,988.7,0.3,41.7,38.9,49.3,39.98,High,0
2020-01-31 06:00:00,27.6,50.4,19.1,549.0,1017.6,0.7,27.8,27.2,26.0,25.56,Low,0
2020-01-31 12:00:00,43.8,23.1,7.0,1100.0,1009.5,0.5,44.1,41.3,45.3,32.51,Moderate,1
2020-01-31 18:00:00,24.2,46.0,20.8,586.0,989.5,1.4,24.0,24.0,20.7,23.12,Low,0
2020-02-01 00:00:00,38.1,39.9,6.1,694.0,1005.6,0.7,39.4,36.4,41.6,31.35,Moderate,0
2020-02-01 06:00:00,49.3,71.5,8.7,900.0,1015.3,1.8,51.8,47.8,71.6,45.7,High,1
2020-02-01 12:00:00,27.1,91.2,6.9,869.0,992.9,1.1,30.8,28.5,32.5,40.52,High,0
2020-02-01 18:00:00,30.0,40.1,8.2,678.0,1018.8,3.8,31.0,29.1,30.0,28.3,Moderate,0
2020-02-02 00:00:00,34.7,80.9,8.9,515.0,989.9,0.1,37.7,34.6,43.7,37.96,Moderate,0
2020-02-02 06:00:00,30.5,24.2,1.8,679.0,997.1,1.7,31.5,29.0,29.6,25.1,Low,0
2020-02-02 12:00:00,23.1,60.4,12.3,346.0,995.6,1.7,24.6,23.2,22.3,26.22,Low,0
2020-02-02 18:00:00,34.5,25.3,8.7,588.0,1018.8,4.5,34.7,32.5,33.4,26.1,Low,0
2020-02-03 00:00:00,26.6,90.1,25.2,273.0,1000.1,0.7,28.1,27.4,28.0,31.75,Moderate,0
2020-02-03 06:00:00,37.3,77.5,14.2,105.0,993.4,0.5,39.5,36.4,46.8,34.28,Moderate,0
2020-02-03 12:00:00,27.6,69.3,11.9,563.0,1009.5,0.3,29.6,27.8,29.7,31.69,Moderate,0
2020-02-03 18:00:00,44.8,81.8,24.3,866.0,1011.6,0.5,46.0,44.0,61.6,42.42,High,1
2020-02-04 00:00:00,28.5,68.6,22.7,781.0,1011.7,1.0,29.2,28.8,28.9,31.64,Moderate,0
2020-02-04 06:00:00,31.7,92.7,25.9,530.0,1002.3,2.7,33.2,32.3,36.9,37.18,Moderate,0
2020-02-04 12:00:00,39.7,73.5,6.4,987.0,1007.5,0.5,42.6,39.3,52.0,42.54,High,0
2020-02-04 18:00:00,25.4,89.3,3.6,408.0,998.5,0.3,29.4,26.4,30.2,36.2,Moderate,0
2020-02-05 00:00:00,35.6,58.8,1.9,71.0,1021.7,0.5,38.3,34.2,42.5,31.05,Moderate,0
2020-02-05 06:00:00,43.1,28.8,18.5,50.0,1016.4,0.2,42.3,39.8,43.7,23.34,Low,1
2020-02-05 12:00:00,22.7,59.6,1.6,255.0,1015.8,3.9,25.5,22.8,23.8,28.07,Moderate,0
2020-02-05 18:00:00,35.3,29.5,11.1,754.0,1012.9,3.1,35.4,33.6,34.7,27.78,Low,0
2020-02-06 00:00:00,35.8,64.4,2.5,391.0,1010.2,0.6,38.7,34.9,43.8,34.85,Moderate,0
2020-02-06 06:00:00,39.5,56.2,20.3,665.0,992.6,0.4,39.9,38.2,44.8,32.89,Moderate,0
2020-02-06 12:00:00,25.3,66.7,13.5,962.0,1011.3,3.5,27.0,26.1,25.8,33.8,Moderate,0
2020-02-06 18:00:00,24.8,20.8,20.2,275.0,1006.1,0.0,23.4,23.3,19.0,14.38,Low,0
2020-02-07 00:00:00,37.7,34.6,11.3,670.0,1017.6,1.4,38.1,35.8,38.9,28.87,Moderate,0
2020-02-07 06:00:00,36.1,56.8,4.4,685.0,1013.1,3.7,38.4,35.2,42.4,36.0,Moderate,0
2020-02-07 12:00:00,35.8,91.3,6.8,335.0,1010.5,1.1,39.5,35.8,48.1,40.47,High,0
2020-02-07 18:00:00,36.4,48.8,17.3,889.0,988.2,0.0,36.8,35.4,38.8,31.79,Moderate,0
2020-02-08 00:00:00,29.2,51.8,2.3,478.0,1004.1,0.4,31.5,28.6,31.7,29.36,Moderate,0
2020-02-08 06:00:00,35.6,73.6,6.4,454.0,999.4,3.8,38.5,35.1,44.4,37.88,Moderate,0
2020-02-08 12:00:00,36.1,65.3,5.7,1078.0,1007.5,0.0,38.7,35.9,43.8,39.52,High,0
2020-02-08 18:00:00,29.0,42.4,9.0,681.0,1000.8,0.8,30.0,28.3,28.8,27.24,Low,0
2020-02-09 00:00:00,47.1,50.8,14.5,781.0,1002.2,2.3,47.9,44.9,58.1,37.66,Moderate,1
2020-02-09 06:00:00,37.3,36.3,19.9,889.0,1009.6,2.7,36.7,35.7,37.0,29.49,Moderate,0
2020-02-09 12:00:00,25.7,92.5,2.9,387.0,1000.7,1.0,30.0,26.8,31.2,37.36,Moderate,0
2020-02-09 18:00:00,38.6,29.8,4.7,862.0,1006.2,0.4,39.5,36.6,40.4,30.48,Moderate,0
2020-02-10 00:00:00,27.2,47.9,3.3,425.0,989.8,1.4,29.2,26.6,28.2,27.23,Low,0
2020-02-10 06:00:00,39.5,21.9,9.2,414.0,996.7,0.5,39.5,36.7,38.9,24.69,Low,0
2020-02-10 12:00:00,42.1,36.6,3.6,482.0,1011.6,0.4,43.5,39.7,47.3,31.13,Moderate,1
2020-02-10 18:00:00,28.3,78.5,12.2,394.0,992.7,2.5,30.8,28.6,31.9,33.75,Moderate,0
2020-02-11 00:00:00,40.7,35.1,21.7,756.0,1017.5,0.3,39.9,38.6,41.3,28.53,Moderate,0
2020-02-11 06:00:00,36.9,26.0,1.9,617.0,1014.7,0.0,38.0,34.7,37.9,27.35,Low,0
2020-02-11 12:00:00,39.8,55.6,4.8,427.0,1002.3,0.6,42.0,38.2,48.2,34.26,Moderate,0
2020-02-11 18:00:00,47.3,20.7,26.1,719.0,1035.0,1.0,45.2,44.0,45.6,26.98,Low,1
2020-02-12 00:00:00,32.3,26.4,10.9,481.0,1017.4,1.8,32.3,30.5,30.4,23.19,Low,0
2020-02-12 06:00:00,28.7,80.6,6.4,468.0,995.5,2.3,32.0,29.1,33.9,36.1,Moderate,0
2020-02-12 12:00:00,27.8,77.9,35.0,562.0,1012.5,1.6,27.5,28.3,26.6,29.76,Moderate,0
2020-02-12 18:00:00,28.3,88.6,7.7,666.0,1005.7,1.5,31.8,29.2,34.0,38.86,High,0
2020-02-13 00:00:00,33.5,84.1,14.2,647.0,997.2,1.6,36.0,33.7,41.0,38.67,High,0
2020-02-13 06:00:00,36.4,71.2,5.0,459.0,994.3,0.5,39.4,35.7,45.6,36.8,Moderate,0
2020-02-13 12:00:00,35.9,23.9,4.3,762.0,1014.9,0.7,36.6,33.9,35.7,27.23,Low,0
2020-02-13 18:00:00,39.8,78.7,14.7,494.0,999.0,1.4,42.0,39.1,51.8,38.84,High,0
2020-02-14 00:00:00,34.1,83.4,27.6,386.0,1004.0,0.1,35.0,34.0,39.4,33.6,Moderate,0
2020-02-14 06:00:00,44.2,79.9,6.7,183.0,995.8,0.5,47.4,42.8,63.0,40.07,High,1
2020-02-14 12:00:00,32.1,58.1,4.0,796.0,997.5,0.8,34.5,31.7,36.5,34.42,Moderate,0
2020-02-14 18:00:00,50.0,37.5,18.3,553.0,1003.7,1.1,49.7,46.9,57.6,32.75,Moderate,1
2020-02-15 00:00:00,38.4,83.4,6.7,603.0,1008.9,1.0,41.8,38.1,51.7,41.66,High,0
2020-02-15 06:00:00,28.0,74.5,12.3,811.0,979.1,1.9,30.2,28.6,30.9,35.51,Moderate,0
2020-02-15 12:00:00,26.5,93.6,6.5,431.0,1005.2,1.0,30.4,27.6,31.9,37.61,Moderate,0
2020-02-15 18:00:00,37.4,31.7,7.4,206.0,997.5,3.5,38.1,35.0,38.6,26.04,Low,0
2020-02-16 00:00:00,32.4,36.9,4.7,567.0,1019.0,0.7,33.7,31.0,33.4,27.36,Low,0
2020-02-16 06:00:00,39.0,35.9,15.0,627.0,1034.4,1.1,39.0,37.0,40.3,28.61,Moderate,0
2020-02-16 12:00:00,37.3,79.4,12.6,484.0,1001.4,0.0,39.8,36.8,47.5,37.75,Moderate,0
2020-02-16 18:00:00,33.5,34.0,12.3,918.0,987.8,0.6,33.7,32.3,32.9,28.21,Moderate,0
2020-02-17 00:00:00,28.1,25.0,5.5,50.0,1006.2,3.0,28.7,26.2,26.2,19.22,Low,0
2020-02-17 06:00:00,23.4,94.9,11.8,830.0,1002.9,0.6,26.7,25.2,26.1,38.33,High,0
2020-02-17 12:00:00,30.9,21.9,30.0,748.0,1024.7,0.4,28.4,29.3,24.3,19.13,Low,0
2020-02-17 18:00:00,40.0,82.6,4.1,664.0,1021.7,1.2,43.6,39.6,55.2,43.23,High,1
2020-02-18 00:00:00,35.5,47.4,5.0,50.0,1013.7,0.1,37.3,33.7,39.5,27.24,Low,0
2020-02-18 06:00:00,25.3,83.1,5.3,871.0,999.1,1.1,28.8,26.5,29.1,38.02,High,0
2020-02-18 12:00:00,35.2,61.6,10.2,293.0,1011.8,0.5,37.1,34.1,40.7,31.57,Moderate,0
2020-02-18 18:00:00,36.7,87.6,3.8,423.0,1007.7,0.7,40.6,36.5,49.7,41.07,High,0
2020-02-19 00:00:00,27.8,89.5,13.5,507.0,1007.4,2.4,30.7,28.7,32.2,36.83,Moderate,0
2020-02-19 06:00:00,35.1,20.7,1.7,652.0,989.4,1.6,35.9,33.0,34.6,26.08,Low,0
2020-02-19 12:00:00,34.4,25.7,16.2,710.0,1015.6,0.9,33.7,32.6,31.8,24.31,Low,0
2020-02-19 18:00:00,26.0,38.8,12.1,773.0,1006.1,1.3,26.5,25.5,23.9,25.23,Low,0
2020-02-20 00:00:00,36.5,70.2,29.6,754.0,1004.0,2.2,36.5,36.1,40.8,34.48,Moderate,0
2020-02-20 06:00:00,37.9,86.6,4.2,613.0,999.0,2.1,41.7,37.8,51.8,43.2,High,0
2020-02-20 12:00:00,41.6,54.5,18.8,654.0,997.1,0.3,42.1,40.0,48.3,33.6,Moderate,1
2020-02-20 18:00:00,41.4,65.5,8.8,277.0,1008.2,0.5,43.6,39.8,52.8,35.5,Moderate,1
2020-02-21 00:00:00,24.4,34.1,7.5,362.0,987.5,0.6,25.2,23.5,22.4,20.93,Low,0
2020-02-21 06:00:00,27.4,80.4,4.0,774.0,1012.9,0.3,30.9,28.2,32.3,37.54,Moderate,0
2020-02-21 12:00:00,37.6,92.5,6.6,759.0,994.5,0.0,41.4,37.8,52.0,44.42,High,0
2020-02-21 18:00:00,37.6,40.1,6.8,731.0,984.4,0.3,38.8,36.0,40.8,31.17,Moderate,0
2020-02-22 00:00:00,37.6,57.1,2.5,421.0,1023.2,2.5,40.2,36.3,45.3,34.73,Moderate,0
2020-02-22 06:00:00,50.0,26.5,12.0,778.0,996.4,1.2,49.9,46.7,54.4,32.98,Moderate,1
2020-02-22 12:00:00,38.0,61.9,11.0,260.0,997.8,0.6,39.8,36.6,45.3,32.54,Moderate,0
2020-02-22 18:00:00,41.9,57.7,14.1,819.0,1016.3,1.4,43.1,40.5,50.6,37.09,Moderate,1
2020-02-23 00:00:00,40.7,30.8,5.9,485.0,1023.5,2.0,41.5,38.2,43.3,29.17,Moderate,0
2020-02-23 06:00:00,38.6,53.2,16.6,971.0,989.7,0.7,39.3,37.6,43.3,34.88,Moderate,0
2020-02-23 12:00:00,31.8,45.1,22.4,170.0,995.4,0.9,31.4,30.4,30.4,22.7,Low,0
2020-02-23 18:00:00,39.3,59.1,8.0,991.0,996.2,0.1,41.3,38.4,47.5,38.33,High,0
2020-02-24 00:00:00,28.6,63.9,4.3,460.0,1014.3,1.4,31.3,28.4,32.0,31.92,Moderate,0
2020-02-24 06:00:00,32.3,20.6,9.9,455.0,1021.4,0.7,32.1,30.2,29.7,21.36,Low,0
2020-02-24 12:00:00,30.6,77.1,9.5,599.0,994.2,0.9,33.3,30.8,35.9,35.95,Moderate,0
2020-02-24 18:00:00,34.6,73.5,8.3,376.0,1019.1,0.8,37.3,34.1,42.3,35.39,Moderate,0
2020-02-25 00:00:00,50.0,47.5,14.1,532.0,997.9,1.5,50.7,47.2,62.5,36.07,Moderate,1
2020-02-25 06:00:00,20.9,24.0,7.2,366.0,1008.4,1.3,21.2,20.0,17.5,17.16,Low,0
2020-02-25 12:00:00,38.8,76.6,4.0,375.0,992.3,0.8,42.2,38.0,51.4,38.9,High,0
2020-02-25 18:00:00,22.7,91.6,10.5,672.0,1003.8,0.0,26.0,24.3,25.0,36.05,Moderate,0
2020-02-26 00:00:00,30.7,38.0,14.6,325.0,1003.9,1.5,30.8,29.3,29.4,23.36,Low,0
2020-02-26 06:00:00,41.6,44.3,15.4,358.0,1001.8,3.2,42.0,39.3,46.3,30.52,Moderate,1
2020-02-26 12:00:00,34.4,33.8,6.9,207.0,1008.8,2.2,35.3,32.3,35.1,24.87,Low,0
2020-02-26 18:00:00,26.5,63.3,11.6,424.0,994.9,6.0,28.3,26.5,27.5,30.71,Moderate,0
2020-02-27 00:00:00,29.0,31.6,22.7,878.0,996.2,0.2,27.9,28.1,24.7,23.07,Low,0
2020-02-27 06:00:00,38.8,46.7,19.2,339.0,1009.4,0.4,38.8,36.9,41.7,27.98,Low,0
2020-02-27 12:00:00,28.9,72.3,2.4,367.0,1018.4,1.2,32.2,28.9,33.9,33.77,Moderate,0
